ref,type,datasource,content,source,alt
2,text,,"Es zeigen sich jedoch auffällige Unterschiede zwischen den Planungsräumen: So gewann vor allem das Gelbe Viertel an Einwohnern/innen hinzu und auch Kaulsdorf Nord II verzeichnete leichte Gewinne. 
Geringe Verluste gab es hingegen im Roten Viertel sowie in Kaulsdorf Nord I. 
Im Vergleich zu 2016 hatten dagegen alle Planungsräume bis Ende 2017 leicht hinzugewonnen, so dass sich der allgemeine Trend des Bevölkerungszuwachses auch in dieser Bezirksregion durchzusetzen scheint.",,
2,titel,,Altersstruktur,,
2,table,2_Tabelle_Alt,"Durchschnittsalter 2017 in den Planungsräumen im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin sowie seine Veränderungen 2012 bis 2017 ","Daten: Amt für Statistik Berlin, Stand 31.12.2017 sowie Demografieberichte Marzahn-Hellersdorf 2011 und 2016. 
* Die Demografieberichte des Bezirkes enthalten hier Werte für 2011.",
2,map-pr,2_Map_Pr_Alt,Durchschnittsalter der Bevölkerung 2017 in den Planungsräumen ,"Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",Grafik zum Durchschnittsalter in Planungsräumen 2017
2,text,,…,,
2,barchart,2_Barchart_Alt1,"Übersicht über die Altersstruktur der Bevölkerung 2017 in den Planungsräumen im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin ",,
2,barchart,2_Barchart_Alt2,,"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
2,table,2_Tabelle_B1,"Kinder und Jugendliche (unter 18 Jahren) 2017 in den Planungsräumen, im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin sowie ihre Veränderungen 2012 bis 2017 (Kernindikator B1)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,table,2_Tabelle_B1-B2,"Einwohner/innen (18 bis 65 Jahre) 2017 in den Planungsräumen, im Vergleich zur Bezirksregion, zum Bezirk sowie ihre Entwicklung 2012 bis 2017 (Kernindikator B1-B2)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,table,2_Tabelle_B2,"Einwohner/innen (ab 65 Jahren) 2017 in den Planungsräumen, im Vergleich zur Bezirksregion und zum Bezirk sowie ihre Entwicklung 2012 bis 2017 (Kernindikator B2)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,text,,…,,
2,titel,,Bevölkerung mit Migrationshintergrund,,
2,text,,"""Der Migrationshintergrund ist kein festes Merkmal aus dem Einwohnerregister (EWR), sondern wird anhand verschiedener Merkmale abgeleitet. Die Ableitung orientiert sich an den bundesweiten Richtlinien zur Definition des Migrationshintergrundes in der amtlichen Statistik, ist jedoch den Möglichkeiten der Merkmalauswahl des Melderegisters angepasst (Berliner Verfahren). Personen mit Migrationshintergrund sind: ausländische Personen, Deutsche mit Migrationshintergrund sowie Personen unter 18 Jahren ohne eigene Migrationsmerkmale aber mit Geburtsland außerhalb von Deutschland bzw. mit Einbürgerungskennzeichen mind. eines Elternteils."" 
Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen und Hinweise zur Verwendung der Kernindikatoren. Senatsverwaltung für Stadtentwicklung und Wohnen. 2019, S. 19.",,
2,table,2_Tabelle_T3,"Bevölkerung mit Migrationshintergrund 2017 in den Planungsräumen im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin und deren Entwicklung seit 2016 (Kernindikator T3)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,map-pr,2_Map_Pr_T3,Bevölkerung mit Migrationshintergrund 2017 in den Planungsräumen (T3),"Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,table,2_Tabelle_T4,"Ausländer/innen in den Planungsräumen 2017 im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin und deren Entwicklung seit 2012 (Kernindikator T4)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,map-pr,2_Map_Pr_T4,Anteil der Ausländer/innen an der Gesamtbevölkerung 2017 in den Planungsräumen (Kernindikator T4),,
2,titel,,Wanderungen,,
2,titel-sm,,Wanderungsvolumen  ,,
2,text,,"""Das Wanderungsvolumen gibt die Summe der Zuzüge (Anmeldungen) und Fortzüge (Abmeldungen) je 100 Einwohnerinnen und Einwohner innerhalb eines Jahres an. Erfasst werden die An- und Abmeldungen der EW mit Hauptwohnsitz über die Grenze der Bezirksregion hinaus.""
Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen und Hinweise zur Verwendung der Kernindikatoren. Senatsverwaltung für Stadtentwicklung und Wohnen. 2019, S. 26.",,
2,table,2_Tabelle_T5,"Wanderungsvolumen 2017 in den Planungsräumen, in der Bezirksregion, im Bezirk und in Berlin und seine Veränderung seit 2016 (Kernindikator T5)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,map-pr,2_Map_Pr_T5,Wanderungsvolumen gesamt je 100 Einwohner 2017 in den Planungsräumen (Kernindikator T5),"Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,titel-sm,,Wanderungssaldo   ,,
2,text,,"""Der Wanderungssaldo ist die Differenz zwischen Anmeldungen (Zuzüge) und Abmeldungen (Fortzüge) in einer Zeiteinheit. Wanderungen bezeichnen den Ein- oder Auszug aus der Hauptwohnung über die Grenzen des Planungsraums bzw. der Bezirksregion hinweg. Positiver Wanderungssaldo: Wanderungsgewinn, mehr Zu- als Fortzüge. Negativer Wanderungssaldo: Wanderungsverlust, mehr Fort- als Zuzüge. Die Erhebungsmethode der An- und Abmeldung unterscheiden sich von den Zu- und Fortzügen der bundesweiten amtlichen Wanderungsstatistik, in welcher nur die Zuzüge in einem bundesweiten Verfahren erhoben werden (die Fortzüge bucht die Herkunftsgemeinde nach Information der Zuzugsgemeinde)."" 
Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen und Hinweise zur Verwendung der Kernindikatoren. Senatsverwaltung für Stadtentwicklung und Wohnen. 2019, S. 23.",,
2,table,2_Tabelle_C2,"Wanderungssaldo 2017 und 2016 und seine Veränderung seit 2016 in den Planungsräumen, der Bezirksregion, im Bezirk und in Berlin (Kernindikator C2)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,map-pr,2_Map_Pr_C2,Wanderungssaldo gesamt je 100 Einwohner 2017 (Kernindikator C2),"Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,table,2_Tabelle_C3,"Wanderungssaldo bei den unter 6-Jährigen 2017 und 2016 in den Planungsräumen, der Bezirksregion, im Bezirk und in Berlin und seine Veränderung seit 2016 (Kernindikator C3)","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,map-pr,2_Map_Pr_C3,Wanderungssaldo der unter 6-Jährigen je 100 Einwohner dieser Altersgruppe 2017 in den Planungsräumen (Kernindikator C3),"Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
3,titel,,Gesamtindex Monitoring Soziale Stadtentwicklung (MSS) ,,
3,text,,"""Mit dem Monitoring Soziale Stadtentwicklung (MSS) wird die sozialstrukturelle Entwicklung in den Teilräumen Berlins beobachtet. Auf Ebene der 447 Planungsräume (PLR) werden dabei Gebiete identifiziert, die erhöhter stadtentwicklungspolitischer Aufmerksamkeit bedürfen. Das Monitoring wurde erstmals 1998 im Rahmen der Untersuchung ""Sozialorientierte Stadtentwicklung"" erstellt und wird von der Senatsverwaltung für Stadtentwicklung seitdem kontinuierlich fortgeschrieben"" (Senatsverwaltung für Stadtentwicklung und Wohnen (Hrsg.) (2017): Monitoring Soziale Stadtentwicklung, Berlin, S. 9f.). Seit dem Monitoring 2013 wird ein gestuftes Indexverfahren auf der Basis von vier Indikatoren genutzt, um die soziale Situation (Status-Index) und deren Entwicklung (Dynamik-Index, bezogen auf die letzten zwei Jahre) zu beschreiben. In den Index gehen die folgenden Indikatoren und ihre Entwicklungen ein: 
- Arbeitslosigkeit (nach SGB II und III), 
- Langzeitarbeitslosigkeit (nach SGB II und III), 
- Transferbezug der Nichtarbeitslosen (nach SGB II und VII),
- Kinderarmut (Transferbezug SGB II der unter 15-Jährigen).",,
3,text,,"Der Status-Index gliedert sich – je nach Ausmaß von Arbeitslosigkeit, Transferbezug und Kinderarmut und in deren Kombination – in vier Klassen (hoch, mittel, niedrig, sehr niedrig), der Dynamik-Index – der sich aus den Entwicklungen der Indikatoren im jeweils betrachteten Zeitraum speist – in drei Klassen (positiv, stabil, negativ). Aus der Überlagerung von Status- und Dynamik-Index ergeben sich zwölf Gruppen, mit denen die Gesamtsituation in den Planungsräumen (nicht auf Ebene der Bezirksregionen) bewertet und als Gesamtindex Soziale Ungleichheit beschrieben wird. Damit lassen sich dann Gebiete mit besonderem Aufmerksamkeitsbedarf identifizieren. Im aktuell vorliegenden Monitoring wurden die Entwicklungen der Jahre 2015 und 2016 (31.12.2014 bis 31.12.2016) anhand der genannten Indikatoren eingeschätzt und Status und Entwicklung der Planungsregionen entsprechend bewertet. 
Auf dieser Grundlage wird der soziale Status der Bezirksregion Marzahn-Süd der zweithöchsten Klasse (2=mittel) zugeordnet mit zugleich positiver Dynamik (+). Die Gesamtsituation ist demnach eher unauffällig und zugleich im Aufwärtstrend (2+). Mit dieser Bewertung bewegt sich die Region im Berliner Durchschnitt und erzeugt keinen Aufmerksamkeitsbedarf. ",,
3,table,3_Tabelle_MSS,Gesamtindex Soziale Ungleichheit 2007 bis 2017 Marzahn-Süd nach Planungsräumen (Kernindikator F5) ,"Daten: Senatsverwaltung für Stadtentwicklung und Wohnen, Monitoring Soziale Stadtentwicklung 2017. ",
3,image,hellersdorfsued_mss.png,Gesamtindex Soziale Ungleichheit 2017 nach Planungsräumen (Kernindikator F5) ,"Weeber+Partner, Sozialraumorientierung Marzahn-Hellersdorf, Bezirksregionenprofile 2018, Teil 1, Daten: Senatsverwaltung für Stadtentwicklung und Wohnen, Monitoring Soziale Stadtentwicklung 2017. ",
3,text,,…,,
3,titel,,Erwerbsbeteiligung und Arbeitslosigkeit,,
3,table,3_Tabelle_D1,"Sozialversicherungspflichtig Beschäftigte am Wohnort und ihr Anteil an der Gesamtbevölkerung (15 bis unter 65 Jahre) in den Planungsräumen, der Bezirksregion, im Bezirk 2017 und in Berlin sowie die Entwicklungen seit 2012 (Kernindikator D1)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,map-pr,3_Map_Pr_D1,Anteil sozialversicherungspflichtig Beschäftigter am Wohnort an Gesamtbevölkerung im Alter 15 bis unter 65 Jahren in den Planungsräumen 2017 (Kernindikator D1),"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,table,3_Tabelle_D2,"Arbeitslose und die Quote in der Bevölkerung von 15 und unter 65 Jahren in den Planungsräumen, in der Bezirksregion, im Bezirk und Berlin 2017, ihre Entwicklung seit 2012 (Kernindikator D2)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,map-pr,3_Map_Pr_D2,Anteil der Arbeitslosen an den 15- bis unter 65- Jährigen 2017 in den Planungsräumen (Kernindikator D2),"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,titel,,Transferleistungen,,
3,text,," Die „Grundsicherung für Arbeitsuchende“ wurde zum 1.1.2005 durch das SGB II (sog. „Hartz-IV“-Gesetz) eingeführt und fasst die frühere Arbeitslosenhilfe mit der Sozialhilfe auf Leistungsniveau des soziokulturellen Existenzminimums zusammen. Sie umfasst den Regelbedarf zur Sicherung des Lebensunterhalts, Leistungen für Mehrbedarfe, Einmalleistungen sowie die Kosten für Unterkunft und Heizung. Gemäß Revision der SGB II-Statistik vom April 2016 werden Personen in BG nach SGB II unterschieden in Leistungsberechtigte und erstmals auch in Nichtleistungsberechtigte. Zu den Leistungsberechtigten (LB) zählen: Regelleistungsberechtigte (RLB), d.h. sie erhalten den Regelsatz SGB II. Hierbei wird differenziert in erwerbsfähige Leistungsberechtigte (ELB) und nicht erwerbsfähige Leistungsberechtigte (NEF). Die ELB erhalten Arbeitslosengeld II und die NEF Sozialgeld. b) Sonstige Leistungsberechtigte (SLB), diese erhalten ausschließlich andere Leistungen nach dem SGB II (Einmalleistungen, Zuschüsse zur Kranken- und Pflegeversicherung, Leistungen für Auszubildende, Leistungen für Bildung und Teilhabe)"". 
Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen u. Hinweise zur Verwendung Kernindikatoren. Senatsverwaltung f. Stadtentwicklung und Wohnen. 2019, S. 33.",,
3,table,3_Tabelle_D4,"Anzahl und Anteil aller Personen in Bedarfsgemeinschaften nach SGB II an den Einwohnern unter 65 Jahren 2017 in den Planungsräumen, in der Bezirksregion, dem Bezirk und Berlin sowie die Veränderung seit 2016 (Kernindikator D4)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,map-pr,3_Map_Pr_D4,Anteil aller Personen in Bedarfsgemeinschaften nach SGB II an den Einwohnern unter 65 Jahren 2017 in den Planungsräumen (Kernindikator D4) ,"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,titel,,Soziale Situation von Kindern und Jugendlichen,,
3,table,3_Tabelle_D3,"Anzahl und Anteil jugendlicher Arbeitsloser (unter 25 Jahren) an allen Jugendlichen von 15 bis unter 25 Jahren 2017 in den Planungsräumen, in der Bezirksregion, dem Bezirk und Berlin sowie die Veränderung seit 2012 (Kernindikator D3) ","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,map-pr,3_Map_Pr_D3,Anteil jugendlicher Arbeitsloser unter 25 Jahren an allen Jugendlichen von 15 bis unter 25 Jahren in den Planungsräumen 2017 (Kernindikator D3) ,"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,table,3_Tabelle_D5,"Anzahl und Anteil aller Personen in Bedarfsgemeinschaften nach SGB II unter 15 Jahren an Einwohnern/innen unter 15 Jahren 2017 in den Planungsräumen, in der Bezirksregion, dem Bezirk und Berlin sowie die Veränderung seit 2016 (Kernindikator D5) ","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,map-pr,3_Map_Pr_D5,Anteil der Personen in Bedarfsgemeinschaften nach SGB II unter 15 Jahren an Einwohnern unter 15 Jahren in den Planungsräumen (Kernindikator D5),"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,table,3_Tabelle_T6,"Anzahl und Anteil der minderjährigen unverheirateten Kinder in alleinerziehenden Bedarfsgemeinschaften nach SGB II an Einwohnern unter 18 Jahren 2017 in den Planungsräumen, in der Bezirksregion, dem Bezirk und Berlin sowie die Veränderung seit 2016 (Kernindikator T6) ","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,map-pr,3_Map_Pr_T6,Anteil der minderjährigen unverheirateten Kinder in alleinerziehenden Bedarfsgemeinschaften nach SGB II an Einwohnern unter 18 Jahren in den Planungsräumen 2017 (Kernindikator T6),"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,titel-sm,,Hilfen zur Erziehung,,
3,table,3_Tabelle_E8,Entwicklung des Anteils an Kindern und Jugendlicher mit Hilfen zur Erziehung an Einwohnern im Alter unter 21 Jahren (Kernindikator E8),"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,titel,,Soziale Situation von Seniorinnen und Senioren,,
3,table,3_Tabelle_D6,"Anzahl der Personen mit Grundsicherung 2017 in den Planungsräumen, der Bezirksregion, dem Bezirk und Berlin sowie ihre Entwicklung seit 2012 (Kernindikator D6)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,map-pr,3_Map_Pr_D6,Anteil der Empfänger von Grundsicherung an Bevölkerung ab 65 Jahren 2017 in den Planungsräumen (Kernindikator D6),"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
4,titel,,Vorschulische Bildung,,
4,text,,"Die Werte für diesen und die nachfolgenden Indikatoren im Bereich Bildungssituation liegen nur auf Ebene der Bezirksregionen vor, so dass keine Aussagen für die einzelnen Planungsräume getroffen werden können.",,
4,table,4_Tabelle_A6,"Anzahl betreuter Kinder (Wohnort des Kindes) in öffentlich geförderter Kindertagesbetreuung 2017 in der Bezirksregion, im Bezirk und in Berlin, ihr Anteil an Kindern unter 7 Jahren (Kernindikator A6) und die Veränderungen im Vergleich zu 2012 bzw. 2016","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
4,barchart,4_Barchart_A6,"Anteil betreuter Kinder (Wohnort des Kindes) in öffentlich geförderter Kindertagesbetreuung an Kindern unter 7 Jahren 2017 im Vergleich von Bezirksregionen, Bezirk und Berlin (Kernindikator A6)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
4,text,,"Hinweis: ""Der Indikator gibt Auskunft über die Inanspruchnahme der Betreuung in Kindertageseinrichtungen, Eltern-Initiativ-Kindertagesstätten und Kindertagespflegestellen. Er lässt keine Rückschlüsse auf Bedarfe, verfügbare Plätze (Versorgungsquoten), Betreuungsumfang oder -qualität in der Bezirksregion zu."" 
Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen und Hinweise zur Verwendung der Kernindikatoren. Senatsverwaltung für Stadtentwicklung und Wohnen. 2019, S. 11.",,
4,titel-sm,,Einschulungsuntersuchung,,
4,text,,"Vier Kernindikatoren für die Bezirksregionenprofile werden aus den Daten der Einschulungsuntersuchungen in Berlin gewonnen, darunter – im Baustein ""Vorschulische Bildung"" von Interesse – der Anteil von Kindern unter denjenigen, die eingeschult werden, mit Sprachdefiziten (E1) ebenso wie der Anteil von Kindern mit einer Besuchsdauer über 2 Jahren in einer Kindertagesstätte (E4). Außerdem gehören dazu: Anteil Kinder mit motorischen Defiziten (E2) sowie Anteil Kinder mit Übergewicht (E3) jeweils an Einschüler/innen. Diese Kernindikatoren werden im Kapitel 5 dieses Bezirksregionenprofils betrachtet. ",,
4,table,4_Tabelle_E1,"Anzahl der Kinder mit Sprachdefiziten 2015-201727, ihr Anteil an allen Kindern, die im darauffolgenden Jahr eingeschult werden, in den Bezirksregionen, im Bezirk und Berlin und der Vergleich zu den vorhergehenden Zeiträumen 2014-2016 und 2010-2012 (Kernindikator E1) ","Daten: Amt für Statistik Berlin, Stand 31.12.2017.
2015-2017: Für die Darstellung dieses Indikators werden Daten aus jeweils drei aufeinanderfolgenden Jahren zusammengefasst (gepoolt).",
4,barchart,4_Barchart_E1,"Anteil der Kinder mit Sprachdefiziten an allen Kindern, die im darauffolgenden Jahr eingeschult werden, im Vergleich aller Bezirksregionen, zum Bezirk und zu Berlin (gepoolte Daten 2015-2017 - Kernindikator E1)",,
4,titel,,Schulische Bildung,,
4,table,4_Tabelle_E5,"Anzahl der Schüler/innen nicht deutscher Herkunftssprache 2017 und ihr Anteil an allen Schüler/innen in den öffentlichen Grundschulen in der Bezirksregion, im Bezirk und Berlin sowie im Vergleich zu 2012 und 2016 (Kernindikator E5)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
4,barchart,4_Barchart_E5,"Anteil der Schüler/innen nicht deutscher Herkunftssprache 2017 an allen Schülern/Schülerinnen in den öffentlichen Grundschulen der Bezirksregionen, des Bezirks und in Berlin (Kernindikator E5)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
4,table,4_Tabelle_E6,"Anzahl der Schüler/innen mit Lernmittelkostenbefreiung 2017, ihr Anteil an allen Schülern/innen in den öffentlichen Grundschulen in der Bezirksregion, im Bezirk und in Berlin (Kernindikator E6) ","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
4,barchart,4_Barchart_E6,"Anteil der Schüler/innen mit Lernmittelkostenbefreiung 2017 an allen Schüler/innen in den öffentlichen Grundschulen im Vergleich der Bezirksregionen, zum Bezirk und zu Berlin (Kernindikator E6)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
5,text,,"Einige Informationen aus den jährlichen Einschulungsuntersuchungen werden auch vom Amt für Statistik Berlin als Kernindikatoren erfasst und jeweils für drei aufeinanderfolgende Jahre zusammengefasst dargestellt (gepoolt). Allerdings liegen die Werte nur auf Ebene der Bezirksregionen vor, Aussagen für die einzelnen Planungsräume können nicht getroffen werden.",,
5,table,5_Tabelle_E2,"Anzahl an Kindern mit motorischen Defiziten 2015-201737, und ihr Anteil an allen Kindern, die im darauffolgenden Jahr eingeschult werden, in der Bezirksregion, im Bezirk und in Berlin sowie im Vergleich zu den vorhergehenden Zeiträumen 2014-2016 und 2010-2012 (Kernindikator E2)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
5,barchart,5_Barchart_E2,"Anteil der Kinder mit motorischen Defiziten an allen Kindern, die im darauffolgenden Jahr eingeschult werden, im Vergleich aller Bezirksregionen, zum Bezirk und zu Berlin (gepoolte Daten 2015- 2017 – Kernindikator E2)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
5,table,5_Tabelle_E3,"Anzahl der Kinder mit Übergewicht 2015-2017 und ihr Anteil an allen Kindern, die im darauffolgenden Jahr eingeschult werden, in der Bezirksregion, im Bezirk und in Berlin sowie im Vergleich zu vorhergehenden Zeiträumen 2014-2016 und 2010-2012 (Kernindikator E3) ","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
5,barchart,5_Barchart_E3," Anteil der Kinder mit Übergewicht an allen Kindern, die im darauffolgenden Jahr eingeschult werden, im Vergleich aller Bezirksregionen, zum Bezirk und zu Berlin (gepoolte Daten 2015-2017 – Kernindikator E3) ","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
6,text,,Zu dem Kapitel liegen keine Kernindikatoren vor. Aus den BZRP Teil I können gebündelte Informationen aus dem Wirtschaftsbericht für den Bezirk Marzahn-Hellersdorf für 2018 sowie Informationen aus dem Einzelhandelskonzept der BZR entnommen werden.  ,,
7,titel,,Wohnungs- und Eigentümerstruktur,,
7,text,,Für dieses Kapitel liegen keine Kernindikatoren vor.,,
7,titel,,Wohnungsmarktentwicklung,,
7,table,7_Tabelle_T1,"Anzahl und Quote von Wohnungsumwandlungen 2017 (Kernindikator T1) in den Planungsräumen, der Bezirksregion, im Bezirk und Berlin sowie die Veränderungen im Vergleich zu 2012/2016","Daten: Amt für Statistik Berlin, Stand 31.12.2017.
Quote = pro 1.000 Bestandswohnungen",
7,table,7_Tabelle_T2,"Anzahl und Quote von Wohnungsverkäufen 2017 (Kernindikator T2) in den Planungsräumen, der Bezirksregion, im Bezirk und Berlin sowie die Veränderungen im Vergleich zu 2012/2016","Daten: Amt für Statistik Berlin, Stand 31.12.2017.
Quote = pro 1.000 Bestandswohnungen",
7,table,7_Tabelle_C1,"Anzahl und Anteil an Menschen mit mehr als 5-jähriger Wohndauer an der gleichen Adresse in den Planungsräumen, der Bezirksregion, dem Bezirk und Berlin sowie die Entwicklung seit 2012 (Kernindikator C1)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
7,map-pr,7_Map_Pr_C1,Anteil der Bevölkerung mit einer Wohndauer von mindestens fünf Jahren 2017 (Kernindikator C1),"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
7,titel,,Wohnbaupotenziale,,
7,text,,Zu dem Kapitel liegen keine Kernindikatoren vor. Aus den BZRP Teil I können gebündelte Informationen der Wohnungsbauleitstelle zu der BZR entnommen werden.  ,,
8,text,,"Zu dem Kapitel liegen keine Kernindikatoren vor. In den Unterkapiteln Einrichtungen zur Bildung, Betreuung und Förderung von Kindern und Jugendlichen, Einrichtungen der Stadtteilarbeit, Sonstige Kultur- und Bildungseinrichtungen, Einrichtungen für Seniorinnen und Senioren (Wohnen und Pflege), Gesundheits- und Sporteinrichtungen sowie Einrichtungen für besondere Zielgruppen sind im BZRP Teil I gebündelte Informationen zusammengetragen worden. Als Quelle dienten dabei bezirkliche Fachkonzepte wie z.B. die Kitaentwicklungsplanung und das SIKo 2018.  ",,
9,titel,,Grün- und Freiflächen,,
9,table,9_Tabelle_A4,"Flächen öffentlicher Grünanlagen, ihre Relation zur Einwohnerzahl sowie die Veränderungen im Vergleich zu 2016 in Planungsräumen, Bezirksregion, Bezirk, Berlin (Kernindikator A4)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
