ref,type,datasource,content,source,alt
3,text,,"""Mit dem Monitoring Soziale Stadtentwicklung (MSS) wird die sozialstrukturelle Entwicklung in den Teilräumen Berlins beobachtet. Auf Ebene der 447 Planungsräume (PLR) werden dabei Gebiete identifiziert, die erhöhter stadtentwicklungspolitischer Aufmerksamkeit bedürfen. Das Monitoring wurde erstmals 1998 im Rahmen der Untersuchung ""Sozialorientierte Stadtentwicklung"" erstellt und wird von der Senatsverwaltung für Stadtentwicklung seitdem kontinuierlich fortgeschrieben"" (Senatsverwaltung für Stadtentwicklung und Wohnen (Hrsg.) (2017): Monitoring Soziale Stadtentwicklung, Berlin, S. 9f.). Seit dem Monitoring 2013 wird ein gestuftes Indexverfahren auf der Basis von vier Indikatoren genutzt, um die soziale Situation (Status-Index) und deren Entwicklung (Dynamik-Index, bezogen auf die letzten zwei Jahre) zu beschreiben. In den Index gehen die folgenden Indikatoren und ihre Entwicklungen ein: 
- Arbeitslosigkeit (nach SGB II und III), 
- Langzeitarbeitslosigkeit (nach SGB II und III), 
- Transferbezug der Nichtarbeitslosen (nach SGB II und VII),
- Kinderarmut (Transferbezug SGB II der unter 15-Jährigen).

Der Status-Index gliedert sich – je nach Ausmaß von Arbeitslosigkeit, Transferbezug und Kinderarmut und in deren Kombination – in vier Klassen (hoch, mittel, niedrig, sehr niedrig), der Dynamik-Index – der sich aus den Entwicklungen der Indikatoren im jeweils betrachteten Zeitraum speist – in drei Klassen (positiv, stabil, negativ). Aus der Überlagerung von Status- und Dynamik-Index ergeben sich zwölf Gruppen, mit denen die Gesamtsituation in den Planungsräumen (nicht auf Ebene der Bezirksregionen) bewertet und als Gesamtindex Soziale Ungleichheit beschrieben wird. Damit lassen sich dann Gebiete mit besonderem Aufmerksamkeitsbedarf identifizieren. Im aktuell vorliegenden Monitoring wurden die Entwicklungen der Jahre 2015 und 2016 (31.12.2014 bis 31.12.2016) anhand der genannten Indikatoren eingeschätzt und Status und Entwicklung der Planungsregionen entsprechend bewertet. 
Auf dieser Grundlage wird der soziale Status der Bezirksregion Marzahn-Süd der zweithöchsten Klasse (2=mittel) zugeordnet mit zugleich positiver Dynamik (+). Die Gesamtsituation ist demnach eher unauffällig und zugleich im Aufwärtstrend (2+). Mit dieser Bewertung bewegt sich die Region im Berliner Durchschnitt und erzeugt keinen Aufmerksamkeitsbedarf. ",,
3,text,,"Das Ergebnis setzt sich auf Ebene der Planungsräume fort, alle vier Planungsräume werden der mittleren Kategorie zugeordnet, zwei – Alt-Marzahn und Springpfuhl – mit positiver Tendenz, der Planungsraum Marzahner Chaussee auf stabilem Niveau, das Landsberger Tor mit eher negativem Vorzeichen. Dabei ist die jeweils aktuelle Situation in den vier Planungsräumen durchaus verschieden. Marzahner Chaussee und Landsberger Tor auf der einen Seite weisen durchweg bessere Werte in allen Monitoring-Statusindikatoren auf als die anderen beiden Planungsräume. Sie schneiden auch im Vergleich zum Gesamtbezirk und zu Berlin bei Arbeitslosigkeit, Transferbezug und Kinderarmut deutlich besser ab.",,
3,table,3_Tabelle_1,Gesamtindex Soziale Ungleichheit 2007 bis 2017 Marzahn-Süd nach Planungsräumen (Kernindikator F5) ,"Daten: Senatsverwaltung für Stadtentwicklung und Wohnen, Monitoring Soziale Stadtentwicklung 2017. ",
3,image,marzahnsued_abb3.png,Gesamtindex Soziale Ungleichheit 2017 nach Planungsräumen (Kernindikator F5) ,"Weeber+Partner, Sozialraumorientierung Marzahn-Hellersdorf, Bezirksregionenprofile 2018, Teil 1, Daten: Senatsverwaltung für Stadtentwicklung und Wohnen, Monitoring Soziale Stadtentwicklung 2017. ",
3,text,,"Die Entwicklungen in den letzten beiden Jahren in den Planungsräumen Marzahner Chaussee und Landsberger Tor laufen denen generellen Trends entgegen. Hier haben Arbeitslosigkeit, Transferbezug und Kinderarmut eher zugelegt bzw. haben sich nicht in dem Maße verbessert, während sich die Zahlen in den beiden anderen Planungsräumen, aber auch in der Bezirksregion, im Bezirk und in Berlin verringerten. Dennoch sind Arbeitslosigkeit, Transferbezug und Kinderarmut in Alt-Marzahn und Springpfuhl auch aktuell noch deutlich höher als in den Bereichen Landsberger Tor und Marzahner Chaussee und liegen auch über den Ergebnissen für den Bezirk und für Berlin, aber sie sind im Aufwärtstrend und haben sich im Vergleich zum letzten Monitoring verbessert.",,
3,text,,"Marzahn-Süd markiert eine Schnittstelle zwischen der eigentlichen Großsiedlung und den Einfamilienhaus- und Siedlungsgebieten im Süden des Bezirkes. Teile der Region – so Marzahner Chaussee, Bereiche in Alt-Marzahn und Landsberger Tor – sind strukturell eher keine klassische Großsiedlung, in anderen Teilen lebt eine langjährige festverwurzelte Bewohnerschaft, die als eher gut situiert und sozial stabil gilt. Das wirkt sich auf die sozialen Strukturen aus und ist anhand der Werte auch erkennbar, während andere Teile eher den Großsiedlungsstrukturen folgen. Die Unterschiede innerhalb des Bezirkes sind vor allem zwischen Großsiedlungsund Einfamilienhausgebieten erheblich. Marzahn-Süd nimmt hinsichtlich der Statusindikatoren aktuell jeweils den Platz hinter Biesdorf, Kaulsdorf, Mahlsdorf ein.",,
3,titel,,Erwerbsbeteiligung und Arbeitslosigkeit,,
3,table,3_Tabelle_2,"Sozialversicherungspflichtig Beschäftigte am Wohnort und ihr Anteil an der Gesamtbevölkerung (15 bis unter 65 Jahre) in den Planungsräumen, der Bezirksregion, im Bezirk 2017 und in Berlin sowie die Entwicklungen seit 2012 (Kernindikator D1)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
3,,,,,
